2131361910,Crab Nebula
2131361911,Eagle Nebula
2131361912,Andromeda Galaxy
2131361913,Orion Nebula
2131361914,Whirlpool Galaxy
2131361915,Ring Nebula
2131361916,Pinwheel Galaxy
2131361917,Sombrero Galaxy
2131361918,Hercules Globular Cluster
2131361919,Pleiades
2131361920,Cat's Eye Nebula
2131361921,Omega Centauri Globular Cluster
2131361922,V838 Monocerotis
2131361924,Hubble Deep Field
2131361932,Andromeda
2131361933,Aquarius
2131361934,Aquila
2131361935,Aries
2131361936,Auriga
2131361937,Bootes
2131361938,Cancer
2131361939,Canis Major
2131361940,Capricornus
2131361941,Carina
2131361942,Cassiopeia
2131361943,Centaurus
2131361944,Cetus
2131361945,Crux
2131361946,Cygnus
2131361947,Draco
2131361948,Eridanus
2131361949,Gemini
2131361950,Grus
2131361951,Hercules
2131361952,Hydrus
2131361953,Leo
2131361954,Libra
2131361955,Lupus
2131361956,Lyra
2131361957,Ophiuchus
2131361958,Orion
2131361959,Pavo
2131361960,Pegasus
2131361961,Perseus
2131361962,Phoenix
2131361963,Pisces
2131361964,Piscis Austrinus
2131361965,Puppis
2131361966,Sagittarius
2131361967,Scorpius
2131361968,Taurus
2131361969,Tucana
2131361970,Ursa Major
2131361971,Ursa Minor
2131361972,Vela
2131361973,Virgo
2131361974,Capricorn
2131361975,Southern Cross
2131361976,Scorpio
2131361977,Little Dipper
2131361978,Little Bear
2131361979,Big Dipper
2131361980,Great Bear
2131361981,Plough
2131361982,Sirius
2131361983,Canopus
2131361984,Arcturus
2131361986,Vega
2131361987,Rigel
2131361988,Procyon
2131361989,Betelgeuse
2131361990,Achernar
2131361991,Hadar
2131361992,Capella
2131361993,Altair
2131361994,Acrux
2131361995,Aldebaran
2131361996,Spica
2131361997,Antares
2131361998,Pollux
2131361999,Fomalhaut
2131362000,Deneb
2131362001,Regulus
2131362002,Adhara
2131362003,Shaula
2131362004,Alnath
2131362005,Alnilam
2131362006,Alnair
2131362007,Alioth
2131362008,Mirphak
2131362010,Dubhe
2131362011,Alkaid
2131362012,Alhena
2131362013,Castor
2131362014,Polaris
2131362015,Alphard
2131362016,Hamal
2131362017,Algieba
2131362018,Diphda
2131362019,Nunki
2131362020,Mirach
2131362021,Alpheratz
2131362022,Saiph
2131362023,Kochab
2131362024,Rasalhague
2131362025,Algol
2131362026,Denebola
2131362027,Alphekka
2131362028,Etamin
2131362029,Kaus
2131362030,Shedir
2131362031,Caph
2131362032,Izar
2131362033,Merak
2131362034,Enif
2131362035,Ankaa
2131362036,Phad
2131362037,Alderamin
2131362038,Scheat
2131362039,Markab
2131362040,Menkar
2131362041,Arneb
2131362042,Unukalhai
2131362043,Algenib
2131362044,Vindemiatrix
2131362045,Alcyone
2131362046,Dog Star
2131362047,North Star
2131362048,Pole Star
2131362049,M1
2131362050,M2
2131362051,M3
2131362052,M4
2131362053,M5
2131362054,M6
2131362055,M7
2131362056,M8
2131362057,M9
2131362058,M10
2131362059,M11
2131362060,M12
2131362061,M13
2131362062,M14
2131362063,M15
2131362064,M16
2131362065,M17
2131362066,M18
2131362067,M19
2131362068,M20
2131362069,M21
2131362070,M22
2131362071,M23
2131362072,M24
2131362073,M25
2131362074,M26
2131362075,M27
2131362076,M28
2131362077,M29
2131362078,M30
2131362079,M31
2131362080,M32
2131362081,M33
2131362082,M34
2131362083,M35
2131362084,M36
2131362085,M37
2131362086,M38
2131362087,M39
2131362088,M40
2131362089,M41
2131362090,M42
2131362091,M43
2131362092,M44
2131362093,M45
2131362094,M46
2131362095,M47
2131362096,M48
2131362097,M49
2131362098,M50
2131362099,M51
2131362100,M52
2131362101,M53
2131362102,M54
2131362103,M55
2131362104,M56
2131362105,M57
2131362106,M58
2131362107,M59
2131362108,M60
2131362109,M61
2131362110,M62
2131362111,M63
2131362112,M64
2131362113,M65
2131362114,M66
2131362115,M67
2131362116,M68
2131362117,M69
2131362118,M70
2131362119,M71
2131362120,M72
2131362121,M73
2131362122,M74
2131362123,M75
2131362124,M76
2131362125,M77
2131362126,M78
2131362127,M79
2131362128,M80
2131362129,M81
2131362130,M82
2131362131,M83
2131362132,M84
2131362133,M85
2131362134,M86
2131362135,M87
2131362136,M88
2131362137,M89
2131362138,M90
2131362139,M91
2131362140,M92
2131362141,M93
2131362142,M94
2131362143,M95
2131362144,M96
2131362145,M97
2131362146,M98
2131362147,M99
2131362148,M100
2131362149,M101
2131362150,M102
2131362151,M103
2131362152,M104
2131362153,M105
2131362154,M106
2131362155,M107
2131362156,M108
2131362157,M109
2131362158,M110
2131362159,NGC6543
2131362160,NGC5139
2131362161,Butterfly Cluster
2131362162,Scorpion's Tail
2131362163,Winnecke 4
2131362164,Beehive Cluster
2131362165,Praesepe
2131362166,Seven Sisters
